0  0  0  20,8342438500647  0  0  0  0
0  0  0  25,0010199892633  0  0  0  0
0  0  0  29,1681446774245  0  0  0  0
0  0  0  55,583027678656  1  0  0  0
0  0  0  55,583027678656  1  0  0  0
0  0  0  66,1051619193482  1  0  0  0
0  0  0  66,1051619193482  1  0  0  0
0  0  0  74,439115640888  1  0  0  0
0  0  0  78,6126192092715  1  0  0  0
0  0  0  82,7794364006695  1  0  0  0
0  0  0  86,946355038368  1  0  0  0
0  0  0  91,2372434237534  1  0  0  0
0  0  0  95,404143114283  1  0  0  0
0  0  0  99,5712492500079  1  0  0  0
0  0  0  103,738366438248  1  0  0  0
0  0  0  107,9051915243  1  0  0  0
0  0  0  112,072282660183  1  0  0  0
0  0  0  116,239294849528  1  0  0  0
0  0  0  120,406198487384  1  0  0  0
0  0  0  120,406198487384  1  0  0  0
0  0  0  124,573124625004  1  0  0  0
0  0  0  128,740099709477  1  0  0  0
0  0  0  132,906999794739  1  0  0  0
0  0  0  137,07374988158  1  0  0  0
0  0  0  141,240574572899  1  0  0  0
0  0  0  145,407613209335  1  0  0  0
0  0  0  149,574411848296  1  0  0  0
0  0  0  153,741161935137  1  0  0  0
0  0  0  157,907986626457  1  0  0  0
0  0  0  162,074683819118  1  0  0  0
0  0  0  166,241759955158  1  0  0  0
0  0  0  170,40862609341  1  0  0  0
0  0  0  174,575526178672  1  0  0  0
0  0  0  182,909558452016  1  0  0  0
0  0  0  187,076278539173  1  0  0  0
0  0  0  191,24303967853  1  0  0  0
0  0  0  195,409845817412  1  0  0  0
0  0  0  199,576888401175  1  0  0  0
0  0  0  203,743608488332  1  0  0  0
0  0  0  207,910321075568  1  0  0  0
0  0  0  212,077067215082  1  0  0  0
0  0  0  216,256049278429  1  0  0  0
0  0  0  220,422870417153  1  0  0  0
0  0  0  224,589650108946  1  0  0  0
0  0  0  228,756621246092  1  0  0  0
0  0  0  232,923299886317  1  0  0  0
0  0  0  237,090087078031  1  0  0  0
0  0  0  241,257028215492  1  0  0  0
0  0  0  245,424078299176  1  0  0  0
0  0  0  249,590839438532  1  0  0  0
0  0  0  253,757833075441  1  0  0  0
0  0  0  257,924560662519  1  0  0  0
0  0  0  257,924560662519  1  0  0  0
0  0  0  289,097532525973  1  0  0  0
0  0  0  297,431594799002  1  0  0  0
0  0  0  301,598265939306  1  0  0  0
0  0  0  305,765379574952  1  0  0  0
0  0  0  309,932519657688  1  0  0  0
0  0  0  314,099318296649  1  0  0  0
0  0  0  318,266161935137  1  0  0  0
0  0  0  322,432836628035  1  0  0  0
0  0  0  326,599732765971  1  0  0  0
0  0  0  330,766403906275  1  0  0  0
0  0  0  334,933202545236  1  0  0  0
0  0  0  339,100278681277  1  0  0  0
0  0  0  343,267208766224  1  0  0  0
0  0  0  347,433928458648  1  0  0  0
0  0  0  351,609558452016  1  0  0  0
0  0  0  355,77651458932  1  0  0  0
0  0  0  359,943347175293  1  0  0  0
0  0  0  359,943347175293  1  0  0  0
0  0  0  364,110307259924  1  0  0  0
0  0  0  368,277143398491  1  0  0  0
133  103  30  372,444182034926  1  0  0  0
133  103  0  376,611021726087  1  0  0  0
133  103  0  380,777715366154  1  0  0  0
133  103  0  384,944382559131  1  0  0  0
133  92  30  389,16707455711  1  0  0  0
133  92  0  397,500840385891  1  0  0  0
133  92  0  401,667924021852  1  0  0  0
133  92  0  405,834778712856  1  0  0  0
133  92  0  410,001772349765  1  0  0  0
133  92  0  414,168750986832  1  0  0  0
129  106  30  418,335842122715  1  0  0  0
129  106  0  422,502603262071  1  0  0  0
129  106  0  426,669465452995  1  0  0  0
129  106  0  430,836545536363  1  0  0  0
129  106  0  430,836545536363  1  0  0  0
129  106  0  435,003655224682  1  0  0  0
129  106  0  439,170532810181  1  0  0  0
131  88  31  443,337380001263  1  0  0  0
131  88  0  447,504433637541  1  0  0  0
131  88  0  451,671172277134  1  0  0  0
131  88  0  455,837873417122  1  0  0  0
134  71  32  460,004705608362  1  0  0  0
131  76  32  464,171672798181  1  0  0  0
131  76  0  468,33838143809  1  0  0  0
131  76  0  472,505337575394  1  0  0  0
131  76  0  476,672020162946  1  0  0  0
131  76  0  480,838833801749  1  0  0  0
131  85  32  485,005853491016  1  0  0  0
131  85  0  489,172790681151  1  0  0  0
131  85  0  493,339776818139  1  0  0  0
133  77  33  516,255343101652  1  0  0  0
133  77  0  524,593009284113  1  0  0  0
133  77  0  528,759860422522  1  0  0  0
133  77  0  528,759860422522  1  0  0  0
133  77  0  532,928320491363  1  0  0  0
133  77  0  537,095160182524  1  0  0  0
133  77  0  541,262135266997  1  0  0  0
133  77  0  545,42882535447  1  0  0  0
133  77  0  549,595905043105  1  0  0  0
133  77  0  553,762673682382  1  0  0  0
133  77  0  562,096642403764  1  0  0  0
133  77  0  566,263583541226  1  0  0  0
133  77  0  570,430318628225  1  0  0  0
133  77  0  574,597019768213  1  0  0  0
133  77  0  578,763731960716  1  0  0  0
133  77  0  583,053697855812  1  0  0  0
133  77  0  587,220376496037  1  0  0  0
133  77  0  591,387374080273  1  0  0  0
133  77  0  595,554108772539  1  0  0  0
135  83  33  595,554108772539  1  0  0  0
135  83  0  599,721158856222  1  0  0  0
134  91  33  608,140791281144  1  0  0  0
134  91  0  612,307724918685  1  0  0  0
134  91  0  616,474681055989  1  0  0  0
134  91  0  620,641356143619  1  0  0  0
134  91  0  624,808387674866  1  0  0  0
134  91  0  628,980402706287  1  0  0  0
133  83  34  633,147370290839  1  0  0  0
133  83  0  637,314198929485  1  0  0  0
133  83  0  641,48087756971  1  0  0  0
133  83  0  645,647856206777  1  0  0  0
133  83  0  649,814954842581  1  0  0  0
133  83  0  653,981873480279  1  0  0  0
133  83  0  658,148593172704  1  0  0  0
