128  35  41  20,8342860864622  0  0  0  0
125  34  41  25,0012607762024  0  0  0  0
125  34  40  29,1682619130325  0  0  0  0
127  34  40  38,3984112009347  0  0  0  0
124  33  41  38,3984112009347  0  0  0  0
128  34  41  42,5653598383175  0  0  0  0
126  33  40  46,7321059778318  0  0  0  0
126  33  40  50,8989006694666  0  0  0  0
125  33  40  55,0659918053494  0  0  0  0
128  33  40  59,2330154419427  1  0  0  0
125  33  40  63,3999680266524  1  0  0  0
125  33  40  67,5667816654562  1  0  0  0
126  34  40  71,7335767518237  1  0  0  0
126  32  40  80,0674625793413  1  0  0  0
126  33  40  84,2341897716866  1  0  0  0
124  32  40  88,4009209113588  1  0  0  0
127  33  40  92,5676224460795  1  0  0  0
126  33  40  96,7346985821202  1  0  0  0
129  34  40  100,901725771308  1  0  0  0
129  33  40  105,068584409638  1  0  0  0
127  33  40  109,235469495058  1  0  0  0
127  36  40  113,402275633941  1  0  0  0
129  35  40  117,56941176935  1  0  0  0
122  36  40  121,736450405785  1  0  0  0
128  34  40  125,903237992232  1  0  0  0
127  33  40  130,070336628036  1  0  0  0
125  31  40  134,237495263208  1  0  0  0
128  34  40  138,404594293744  1  0  0  0
126  34  40  142,571310433574  1  0  0  0
129  33  40  162,354992184293  1  0  0  0
123  33  40  162,354992184293  1  0  0  0
126  32  40  170,699621846086  1  0  0  0
129  34  39  174,866379038115  1  0  0  0
126  33  39  179,036627640762  1  0  0  0
127  31  40  183,203294833739  1  0  0  0
125  32  40  187,370003473648  1  0  0  0
125  32  41  191,536753165756  1  0  0  0
126  34  39  195,703870748729  1  0  0  0
129  33  39  199,870942937443  1  0  0  0
129  34  39  204,037629077589  1  0  0  0
130  34  39  208,204697713708  1  0  0  0
128  33  40  212,371739902738  1  0  0  0
126  34  40  216,538583541226  1  0  0  0
127  33  39  220,705341127988  1  0  0  0
127  33  39  224,872199766318  1  0  0  0
125  33  40  224,872199766318  1  0  0  0
124  32  40  229,128993905327  1  0  0  0
127  35  40  233,295901490511  1  0  0  0
127  34  40  237,462587630656  1  0  0  0
124  33  40  241,629558767802  1  0  0  0
128  33  40  245,796271355038  1  0  0  0
126  32  40  249,963354991  1  0  0  0
127  34  40  254,13021362933  1  0  0  0
125  33  40  258,297222266081  1  0  0  0
127  34  40  262,464020905043  1  0  0  0
125  33  39  266,630823096599  1  0  0  0
128  34  39  270,79761423564  1  0  0  0
129  34  39  274,964521820823  1  0  0  0
125  34  40  279,131354012063  1  0  0  0
127  36  40  283,298115151419  1  0  0  0
127  36  40  291,63194847949  1  0  0  0
102  32  40  295,799036062778  1  0  0  0
99  29  40  299,96609325165  1  0  0  0
95  29  41  304,133079388638  1  0  0  0
89  30  41  308,300088025389  1  0  0  0
85  32  40  312,467006663088  1  0  0  0
82  35  40  316,633940300628  1  0  0  0
81  34  40  320,800746439511  1  0  0  0
84  38  40  324,967774023431  1  0  0  0
84  36  40  329,134775160261  1  0  0  0
85  34  40  333,301742744813  1  0  0  0
84  33  40  337,46935887517  1  0  0  0
84  33  40  341,636213960906  1  0  0  0
85  33  40  345,803305096788  1  0  0  0
84  34  40  349,970051236303  1  0  0  0
87  33  40  354,136853822591  1  0  0  0
83  32  40  358,378520226103  1  0  0  0
86  32  40  362,54549886317  1  0  0  0
84  30  40  366,712578946537  1  0  0  0
84  32  39  398,296013989326  1  0  0  0
83  28  40  398,296013989326  1  0  0  0
86  32  39  406,629847712129  1  0  0  0
85  29  40  410,79652279976  1  0  0  0
86  30  39  414,963204992579  1  0  0  0
84  33  40  414,963204992579  1  0  0  0
82  30  39  419,12992863233  1  0  0  0
86  31  40  423,296918321912  1  0  0  0
84  33  39  427,463698013705  1  0  0  0
86  31  39  431,630417706129  1  0  0  0
85  34  39  439,964101035779  1  0  0  0
85  33  39  444,130888622225  1  0  0  0
84  31  39  448,297657261502  1  0  0  0
84  28  39  452,464744844791  1  0  0  0
83  29  38  456,631753876275  1  0  0  0
85  31  39  460,798856459406  1  0  0  0
85  30  39  464,965550099473  1  0  0  0
83  32  38  469,132255186788  1  0  0  0
82  30  38  473,299080272839  1  0  0  0
84  32  38  477,465867464553  1  0  0  0
82  34  38  481,632583604383  1  0  0  0
83  32  38  485,799352243661  1  0  0  0
85  31  38  489,966131935453  1  0  0  0
82  33  38  494,132878074968  1  0  0  0
83  32  38  498,299973158177  1  0  0  0
85  31  38  502,46684679635  1  0  0  0
84  32  38  506,63373188177  1  0  0  0
86  31  37  510,800710518837  1  0  0  0
84  32  37  514,967835206998  1  0  0  0
83  32  38  519,134915290365  1  0  0  0
84  33  37  519,134915290365  1  0  0  0
84  30  37  523,301882480184  1  0  0  0
84  34  37  527,468767565605  1  0  0  0
83  32  37  531,635877648656  1  0  0  0
84  32  36  535,802627735497  1  0  0  0
84  33  37  539,969366375091  1  0  0  0
83  30  36  544,136367511921  1  0  0  0
84  31  37  548,30338759592  1  0  0  0
84  33  37  552,470257286765  1  0  0  0
84  33  36  556,637190924306  1  0  0  0
84  31  36  560,804000615783  1  0  0  0
82  32  36  564,970882148609  1  0  0  0
84  34  36  569,137691840086  1  0  0  0
85  33  36  573,3045804781  1  0  0  0
85  31  36  577,471671613983  1  0  0  0
83  33  36  585,901147882654  1  0  0  0
84  32  36  590,067815075631  1  0  0  0
84  31  35  594,234891211671  1  0  0  0
84  30  36  598,41346077936  1  0  0  0
85  32  35  602,580529810213  1  0  0  0
86  31  36  620,533990826412  1  0  0  0
84  31  35  620,533990826412  1  0  0  0
86  30  35  624,700883017021  1  0  0  0
83  32  35  628,867730602836  1  0  0  0
85  32  35  637,201432879654  1  0  0  0
84  37  35  641,368171519247  1  0  0  0
85  35  35  645,53490265892  1  0  0  0
84  33  35  649,701682350712  1  0  0  0
85  33  36  653,868713487227  1  0  0  0
85  32  35  658,074459216219  1  0  0  0
82  34  35  662,241351406827  1  0  0  0
86  32  35  666,408408595699  1  0  0  0
84  32  35  670,575222234503  1  0  0  0
83  35  35  674,742279423375  1  0  0  0
90  37  35  678,909172008716  1  0  0  0
96  43  34  683,075899201061  1  0  0  0
101  48  35  687,242840338523  1  0  0  0
101  48  0  691,413981431774  1  0  0  0
108  67  34  695,590064973  1  0  0  0
