1	930	185	50	80
A	780	690	50	80
2	320	80	50	80
B	955	560	50	80
3	495	228	50	80
C	515	570	50	80
4	105	165	50	80
D	130	550	50	80
5	710	100	50	80
E	320	670	50	80
