CNG;centro;32451EDCAB;centro;43125BACED;centro;CEBAD42135;centro;CEABD42531;centro;20000;
MA;centro;43125BACED;centro;42135CABED;centro;ECBAD42135;centro;DBEAC24531;centro;20000;
BA;centro;CEBAD42135;centro;CEBAD42135;centro;42135CABED;centro;43125BACED;centro;20000;
LG;centro;34251BADCE;centro;43251EADCB;centro;CABED42135;centro;CEBAD42135;centro;10000;
MD;centro;42135CABED;centro;43215DECAB;centro;CABED42135;centro;DCAEB35412;centro;10000;
SS;centro;DBAEC34521;centro;CABED42135;centro;34251BADCE;centro;ZZZZZZZZZZ;centro;20000;NON ESEGUITO EXP8
GD;centro;42531EACBD;centro;32451EDCAB;centro;CABED42135;centro;DBEAC24531;centro;20000;**LA TEMPORIZZAZIONE DI TMT2 5000 PER ERRORE
RB;centro;42531EACBD;centro;42135CABED;centro;CABED42135;centro;DBAEC43521;centro;10000;
